Date,Open,High,Low,Close,Adj Close,Volume
2021-03-05,309.0,311.5,307.0,311.0,229.78819274902344,3721495
2021-03-08,312.0,319.5,312.0,315.5,233.11314392089844,3875339
2021-03-09,318.5,318.5,309.0,313.0,231.2659454345703,3400830
2021-03-10,316.0,316.5,312.0,312.5,230.89649963378906,3114473
2021-03-11,315.0,319.5,314.5,317.5,234.59083557128906,4899739
2021-03-12,319.0,326.5,316.5,323.5,239.0240478515625,6153285
2021-03-15,322.5,328.0,319.0,326.0,240.87123107910156,3263518
2021-03-16,329.5,338.0,329.0,331.0,244.5655975341797,4816497
2021-03-17,331.0,332.5,322.0,325.5,240.50181579589844,4860266
2021-03-18,358.0,358.0,355.0,358.0,264.5150451660156,15912474
2021-03-19,368.0,386.0,360.0,377.5,278.9229736328125,24595161
2021-03-22,382.0,382.0,368.0,368.5,272.2731628417969,10145606
2021-03-23,373.0,373.0,365.0,365.5,270.05657958984375,4882067
2021-03-24,366.5,377.0,365.0,366.0,270.4259948730469,5020497
2021-03-25,367.0,368.5,362.0,365.0,269.6871337890625,3602197
2021-03-26,366.5,368.0,363.5,365.0,269.6871337890625,3851223
2021-03-29,366.5,375.0,364.0,374.0,276.3369445800781,4463345
2021-03-30,377.0,379.5,374.0,377.0,278.55352783203125,4093079
2021-03-31,377.0,377.5,372.0,372.5,275.2286376953125,3801377
2021-04-01,374.0,374.5,370.5,371.5,274.4897766113281,2260814
2021-04-07,370.0,373.0,368.0,371.5,274.4897766113281,3195266
2021-04-08,369.0,374.5,368.0,374.5,276.7063903808594,3306437
2021-04-09,373.5,374.5,370.5,371.5,274.4897766113281,2632232
2021-04-12,378.0,378.0,372.5,374.5,276.7063903808594,3469247
2021-04-13,374.5,377.0,368.5,370.5,273.7508850097656,4214743
2021-04-14,370.5,372.0,365.0,370.5,273.7508850097656,3155608
2021-04-15,370.0,373.0,367.5,373.0,275.59808349609375,2375267
2021-04-16,372.5,391.0,372.0,388.0,286.68109130859375,8652879
2021-04-19,395.5,398.0,385.5,385.5,284.83392333984375,5788182
2021-04-20,384.0,387.5,381.0,383.0,282.9867858886719,3133837
2021-04-21,381.0,381.5,376.0,376.5,278.1841125488281,4334762
2021-04-22,377.5,378.0,370.0,373.5,275.967529296875,5156125
2021-04-23,372.0,378.0,370.0,378.0,279.29241943359375,3760784
2021-04-26,378.0,381.0,377.5,380.0,280.7701416015625,3229123
2021-04-27,378.5,380.0,372.5,375.0,277.0758361816406,4711094
2021-04-28,374.5,375.5,371.5,372.0,274.85919189453125,2241592
2021-04-29,372.0,378.0,372.0,376.0,277.814697265625,2561306
2021-05-03,372.5,381.0,372.5,376.5,278.1841125488281,3493882
2021-05-04,378.0,380.0,370.5,378.0,279.29241943359375,4093769
2021-05-05,378.0,386.0,373.5,380.5,281.13958740234375,5016399
2021-05-06,380.0,394.0,379.0,380.5,281.13958740234375,7335876
2021-05-07,382.5,392.0,382.0,391.0,288.897705078125,5512040
2021-05-10,392.0,393.5,385.5,387.0,285.9422302246094,4820183
2021-05-11,380.0,380.5,361.0,367.5,271.5343017578125,7715186
2021-05-12,366.0,374.0,335.0,361.5,267.10107421875,10110249
2021-05-13,376.0,386.0,367.0,379.5,280.4007263183594,12948410
2021-05-14,382.0,393.0,374.0,380.0,280.7701416015625,6519809
2021-05-17,362.5,378.5,362.5,368.0,271.90374755859375,6989929
2021-05-18,370.0,384.5,369.5,384.0,283.72564697265625,6684738
2021-05-19,390.0,413.0,384.5,409.5,302.5668029785156,15635923
2021-05-20,413.0,428.0,394.0,397.0,293.3309326171875,16532476
2021-05-21,402.0,408.0,388.0,392.5,290.00604248046875,8733152
2021-05-24,390.5,393.0,386.0,390.0,288.1588439941406,3342901
2021-05-25,392.0,395.0,388.5,390.5,288.5282897949219,4620312
2021-05-26,390.5,399.0,389.0,397.5,293.7003479003906,3359441
2021-05-27,398.5,398.5,388.0,388.0,286.68109130859375,5194837
2021-05-28,393.0,393.0,387.0,391.5,289.26715087890625,3624485
2021-05-31,392.5,396.0,390.5,395.0,291.8531799316406,2497663
2021-06-01,399.0,403.0,395.0,403.0,297.7641296386719,3157757
2021-06-02,404.0,404.5,391.5,393.5,290.7449035644531,4194177
2021-06-03,393.0,395.0,389.5,392.0,289.6365966796875,3395863
2021-06-04,390.0,390.0,388.5,390.0,288.1588439941406,1614915
2021-06-07,389.0,390.0,380.5,388.0,286.68109130859375,3000463
2021-06-08,390.0,390.0,386.0,390.0,288.1588439941406,2362684
2021-06-09,390.0,390.5,385.0,386.0,285.203369140625,3673849
2021-06-10,389.5,390.0,385.5,385.5,284.83392333984375,3754226
2021-06-11,385.5,388.0,382.0,383.0,282.9867858886719,3725568
2021-06-15,384.0,385.0,381.0,383.5,283.356201171875,2698301
2021-06-16,384.5,390.5,384.5,388.0,286.68109130859375,3884062
2021-06-17,385.0,388.0,384.0,388.0,286.68109130859375,1918768
2021-06-18,388.5,389.0,385.0,385.0,284.4645080566406,4289186
2021-06-21,385.0,387.5,383.0,383.0,282.9867858886719,3666987
2021-06-22,383.0,388.0,375.0,375.0,277.0758361816406,6994544
2021-06-23,375.0,376.5,370.5,374.0,276.3369445800781,5798938
2021-06-24,375.0,377.0,372.0,373.5,275.967529296875,2744945
2021-06-25,375.0,375.0,367.0,367.0,271.16485595703125,6370441
2021-06-28,368.5,374.0,365.0,372.5,275.2286376953125,3777733
2021-06-29,373.0,374.0,370.0,370.0,273.3814697265625,2028525
2021-06-30,371.5,375.0,370.0,371.5,274.4897766113281,2792667
2021-07-01,370.5,373.5,367.0,367.0,271.16485595703125,2992659
2021-07-02,368.5,372.0,367.0,371.0,274.1203308105469,1789983
2021-07-05,373.0,377.0,372.0,376.0,277.814697265625,2250178
2021-07-06,378.0,378.0,375.5,376.0,277.814697265625,1698955
2021-07-07,376.0,379.5,375.5,379.0,280.0312805175781,1743026
2021-07-08,382.0,382.0,379.0,381.0,281.509033203125,2226513
2021-07-09,380.0,381.5,372.5,373.0,275.59808349609375,4282736
2021-07-12,379.0,382.0,377.0,381.0,281.509033203125,2405729
2021-07-13,378.5,382.5,374.5,376.5,278.1841125488281,3676347
2021-07-14,378.5,379.0,376.0,379.0,280.0312805175781,2489766
2021-07-15,379.0,380.5,378.0,378.5,279.6618347167969,1652271
2021-07-16,377.0,378.5,374.0,376.0,277.814697265625,2775893
2021-07-19,374.0,374.0,371.0,372.0,274.85919189453125,2317415
2021-07-20,370.5,373.5,370.0,371.0,274.1203308105469,1974304
2021-07-21,373.0,373.5,369.5,370.5,273.7508850097656,2578108
2021-07-22,368.0,372.0,365.0,365.5,270.05657958984375,5965710
2021-07-23,360.0,362.0,353.5,354.5,261.9289855957031,9714061
2021-07-26,354.5,357.5,351.0,354.5,261.9289855957031,3641332
2021-07-27,352.0,359.5,351.5,359.0,265.25390625,4363346
2021-07-28,358.5,358.5,353.0,353.5,261.19012451171875,4984482
2021-07-29,354.0,356.5,351.5,352.5,260.4512634277344,5998967
2021-07-30,354.0,357.0,351.0,351.0,259.34295654296875,7177530
2021-08-02,315.0,323.0,312.0,319.5,254.9541015625,10034373
2021-08-03,322.0,329.0,319.0,324.5,258.9439697265625,5928515
2021-08-04,323.0,325.0,319.0,324.0,258.54498291015625,4163570
2021-08-05,324.0,326.0,320.0,321.0,256.15106201171875,4531817
2021-08-06,320.5,325.0,318.0,323.5,258.14599609375,3155950
2021-08-09,324.0,324.0,320.5,322.0,256.9490051269531,1903350
2021-08-10,319.0,320.5,317.0,319.5,254.9541015625,3739506
2021-08-11,320.0,323.0,318.5,323.0,257.74700927734375,5028024
2021-08-12,329.0,329.5,319.0,319.0,254.5550994873047,6362831
2021-08-13,320.0,320.5,316.5,316.5,252.5601348876953,3064176
2021-08-16,318.0,319.0,313.0,315.0,251.3631591796875,3556542
2021-08-17,315.0,315.0,315.0,315.0,251.3631591796875,0
2021-08-18,317.5,318.5,312.0,317.5,253.35812377929688,4039675
2021-08-19,316.0,316.5,311.0,311.0,248.17127990722656,3573658
2021-08-20,312.0,313.5,307.0,312.0,248.96923828125,3294229
2021-08-23,316.0,319.0,314.5,317.5,253.35812377929688,2116456
