Date,Close,Volume,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX
2020-06-30,579.0,9477.547,544.55,517.35,78.65812103283412,34.4500654362256,29.85604298799464,590.4075800310954,517.35,444.2924199689046,17.756728368390675,44.33420313604795
2020-07-01,577.0,7577.668,553.0,523.125,77.41882656708691,34.539493422645364,30.792733074924787,595.8696733445144,523.125,450.38032665548565,17.845533484934197,45.647489531348064
2020-07-02,574.0,6018.098,559.4,527.575,75.49733489785238,33.97662938439714,31.429512336819258,601.328152474995,527.575,453.8218475250051,17.213709664581753,46.686662722583584
2020-07-03,585.0,8709.502,566.9,532.325,77.68437657564287,34.02593386287049,31.948796642029503,607.9981623496717,532.325,456.65183765032845,16.91273040282591,47.76559572345529
2020-07-06,589.0,7257.983,574.5,537.275,78.43805093499672,33.99589111679825,32.35821553698325,614.168091367171,537.275,460.381908632829,16.347535374052633,48.81379518644757
2020-07-07,618.0,19356.242,581.7,543.475,82.93734202557685,35.89832610358735,33.066237650304075,625.2524265919399,543.475,461.69757340806024,18.251282847334586,50.54413212642491
2020-07-08,661.0,21759.399,590.2,551.8,87.20177253329814,40.40993954219891,34.53497802868304,645.0364735497877,551.8,458.5635264502122,20.947619786810687,52.59164563214362
2020-07-09,651.0,17160.954,597.9,559.475,82.06501977737773,42.68644648649911,36.16527172024625,658.650841312287,559.475,460.2991586877131,21.09421837346707,54.49290817316813
2020-07-10,616.0,16945.547,601.5,565.275,67.15454455081958,41.19155652563461,37.17052868132392,663.4220707662736,565.275,467.1279292337264,22.087488489647992,54.57247276467363
2020-07-13,629.0,10446.84,607.9,571.9,69.3799029313589,40.58796403178758,37.854015751416654,668.458065432153,571.9,475.34193456784686,22.152667883244565,54.646354171071586
2020-07-14,611.0,9142.92,611.1,577.825,63.01379303478698,38.21662559322613,37.92653771977855,668.5329241301442,577.825,487.11707586985585,21.927477320155667,54.17646706346328
2020-07-15,609.0,14629.162,614.3,583.65,62.329446787960116,35.76367809186627,37.49396579419609,666.2968995183742,583.65,501.0031004816258,21.789800368715976,52.97249465883214
2020-07-16,599.0,7417.218,616.8,588.1,58.88589787091579,32.636569045594456,36.52248644447577,663.6880943006227,588.1,512.5119056993774,21.161957485236265,51.85452028310323
